mag_X,mag_Y,mag_Z,ADC1_CH1,ADC1_CH2,ADC1_CH3,ADC1_CH4,ADC1_CH5,ADC1_CH6
0.0198,0.0198,0.0381,0,0,0,0,0,0
-33.6629,84.0085,152.9335,0,0,0,0,0,0
-108.0903,32.5917,153.1624,0,0,0,0,0,0
-56.3561,86.7857,174.2962,0,0,0,0,0,0
-63.418,85.7145,177.9583,0,0,0,0,0,0
-84.683,22.6337,123.8651,0,0,0,0,0,0
-70.837,82.501,179.4079,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
-85.6748,77.5418,179.7131,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
-20.531,63.1006,165.2934,0,0,0,0,0,0
-99.6002,80.0809,137.9034,0,0,0,0,0,0
-84.0085,21.5625,120.8896,0,0,0,0,0,0
-65.1637,20.8881,114.786,0,0,0,0,0,0
-33.5836,19.1028,183.5279,0,0,0,0,0,0
-28.3467,59.1333,182.1546,0,0,0,0,0,0
-59.0936,87.7775,176.9665,0,0,0,0,0,0
-20.531,43.8987,133.0205,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
-109.3599,48.8579,162.4704,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
-96.9421,17.6745,143.6255,0,0,0,0,0,0
-97.6165,71.7891,174.5251,0,0,0,0,0,0
-71.7891,9.5415,127.9088,0,0,0,0,0,0
-101.5442,38.5428,174.9828,0,0,0,0,0,0
-86.6667,10.93,170.2525,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
-29.6956,18.349,171.8547,0,0,0,0,0,0
-83.7308,14.461,173.1518,0,0,0,0,0,0
-33.5439,14.0642,145.8381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0.39,0.71,0.1,0.19,0.03,2.12
0.0198,0.0198,0.0381,1.45,0.12,0,1.8,0.1,0.28
0.0198,0.0198,0.0381,1,0.1,0,1.23,0.1,1.64
